katamajemuk,label
anak torak,correct
anak uang,correct
batang air,correct
batang dacing,correct
batang leher,correct
batang tubuh,correct
biang cuka,correct
biang jari,correct
biang keladi,correct
biang keringat,correct
biang tangan,correct
bibir belangan,correct
bibir cangkir,correct
bibir cawan,correct
bibir jalan,correct
bibir sumur,correct
buah baju,correct
buah betis,correct
buah catur,correct
buah dacing,correct
buah dada,correct
buah guli,correct
buah hati,correct
buah lengan,correct
buah mata,correct
buah pantat,correct
buah pelir,correct
buah pinggang,correct
buah zakar,correct
daun neraca,correct
daun pintu,correct
daun telinga,correct
hidung kapal terbang,correct
hidung mobil,correct
ibu jari,correct
ibu kaki,correct
ibu kota,correct
ibu negeri,correct
ibu panah,correct
ibu tangan,correct
induk bala,correct
induk beras,correct
induk bunga,correct
induk jari,correct
induk kaki,correct
induk kalimat,correct
induk karangan,correct
induk karbol,correct
induk kereta api,correct
induk madu,correct
induk padi,correct
induk roti,correct
induk rumah,correct
induk semang,correct
induk tangan,correct
induk tentara,correct
induk utang,correct
indung madu,correct
indung mutiara,correct
indung sutera,correct
indung telur,correct
jantung paha,correct
jantung pisang,correct
jantung tangan,correct
kaki gunung,correct
kaki langit,correct
kaki meja,correct
kepala air,correct
kepala arwah,correct
kepala bagian,correct
kepala bahu,correct
kepala balok,correct
kepala daerah,correct
kepala jara,correct
kepala kain,correct
kepala kampung,correct
kepala karangan,correct
kepala keluarga,correct
kepala kereta api,correct
kepala kodi,correct
kepala kongsi,correct
kepala kue,correct
kepala nasi,correct
kepala negara,correct
kepala negeri,correct
kepala paha,correct
kepala pasukan,correct
kepala payung,correct
kepala perampok,correct
kepala perang,correct
kepala pulau,correct
kepala racun,correct
kepala regu,correct
kepala soda,correct
kepala santan,correct
kepala sarung,correct
kepala sekolah,correct
kepala stasiun,correct
kepala suku,correct
kepala surat,correct
kepala susu,correct
kepala tahu,correct
kepala tahun,correct
kepala terompah,correct
kepala tongkat,correct
kepala tungku,correct
mata air,correct
mata alamat,correct
mata anggaran,correct
mata angin,correct
mata ayam,correct
mata bajak,correct
mata bedil,correct
mata beliung,correct
mata benda,correct
mata bisul,correct
mata buku,correct
mata bulan,correct
mata cangkul,correct
mata cincin,correct
mata dabus,correct
mata dacing,correct
mata dagangan,correct
mata duli,correct
mata gunting,correct
mata hati,correct
mata huruf,correct
mata jala,correct
mata kail,correct
mata kaki,correct
mata kayu,correct
mata kerek,correct
mata keris,correct
mata kuliah,correct
mata luka,correct
mata meriam,correct
mata pahi,correct
mata panah,correct
mata pangkur,correct
mata pedang,correct
mata pedoman,correct
mata pelajaran,correct
mata pencarian,correct
mata petir,correct
mata pisau,correct
mata rantai,correct
mata sangkur,correct
mata susu,correct
mata tajak,correct
mata tembilang,correct
mata tombak,correct
mata tong,correct
mata uang,correct
moncong senapan,correct
mulut bedil,correct
mulut meriam,correct
mulut sungai,correct
pantat ceret,correct
pantal periuk,correct
perut bumi,correct
perut daun,correct
perut kapal,correct
perut padi,correct
suku bangsa,correct
suku bunga,correct
suku emas,correct
suku jam,correct
suku kata,correct
suku tahun,correct
tajuk rencana,correct
tajuk surat,correct
tangan baju,correct
alih bahasa,correct
alih teknologi,correct
bagi hasil,correct
balap sepeda,correct
balik nama,correct
basuh lantai,correct
bela diri,correct
belah batang,correct
belah betung,correct
belah buluh,correct
belah bumbung,correct
belah dada,correct
belah ketupat,correct
belah lemang,correct
belah mulut,correct
bina wicara,correct
cacah jiwa,correct
cuci otak,correct
dengar pendapat,correct
ganti rugi,correct
gorang kacang,correct
goreng pisang,correct
gugur gunung,correct
ikat belanda,correct
ikat dagang luar,correct
ikat emas,correct
ikat perang,correct
ikat permata,correct
ikat pinggang,correct
kawal gunung,correct
kekang diri,correct
lempar cakram,correct
lempar lembing,correct
lomba mengarang,correct
lomba kebersihan,correct
lomba kekayaan ,correct
lomba lari,correct
lomba layar,correct
lontar martil,correct
panggang ayam,correct
rancang bangun,correct
reka bentuk,correct
reka cipta,correct
sepak bola,correct
sepak raga,correct
sepak takraw,correct
tata bahasa,correct
tata bentuk,correct
tata buku,correct
tata cara,correct
tata hukum,correct
tata kalimat,correct
tata kata,correct
tata laksana,correct
tata nama,correct
tata negara,correct
tata niaga,correct
tata praja,correct
tata ruang,correct
tata surya,correct
tata tertib,correct
tata usaha,correct
temu muka,correct
titi nada,correct
tolak bala,correct
tolak bara,correct
tolak peluru,correct
tolak senjata,correct
tolak sumpah,correct
tumpah darah,correct
uji kadar,correct
ulang tahun,correct
unjuk perasaan,correct
alat gesek,correct
alat tiup,correct
anak angkat,correct
anak asuh,correct
anak buangan,correct
anak dapat,correct
anak didik,correct
anak pungut,correct
ayah angkat,correct
ayam goreng,correct
ayam panggang,correct
babi guling,correct
bapak angkat,correct
bulu tangkis,correct
hutan lindung,correct
ibu angkat,correct
kacang goreng,correct
kambing guling,correct
karya tulis,correct
kentang goreng,correct
kopi tubruk,correct
nasi bungkus,correct
nasi dandang,correct
nasi uduk,correct
nasi goreng,correct
nasi kepal,correct
nasi kukus,correct
nasi lecek,correct
nasi lemang,correct
nasi meroyan,correct
nasi ransum,correct
nasi tambah,correct
nasi tanak,correct
nasi tim,correct
orang tua angkat,correct
param kocok,correct
peluru kendali,correct
pisang goreng,correct
rambut jalin,correct
roti bakar,correct
sambal ulek,correct
senjata genggam,correct
tangga lipat,correct
tangga pilin,correct
tikar jalin,correct
umpan balik,correct
hormat senjata,correct
lombat tali,correct
loncat galah,correct
mandi uap,correct
terjun payung,correct
tusuk jarum,correct
cetak biru,correct
cetak lepas,correct
cetak ulang,correct
gerak lurus,correct
gerak putar,correct
hukum gantung,correct
hukum pecat,correct
hukum penggal,correct
hukum tembak,correct
kerja bakti,correct
kerja lembur,correct
kerja paksa,correct
kerja sama,correct
layang gantung,correct
lompat jauh,correct
loncat indah,correct
tanam paksa,correct
tukar tambah,correct
uji coba,correct
uji petik,correct
sumpah jabatan,correct
sumpah setia,correct
temu karya,correct
temu wicara,correct
tindak balas,correct
tindak lanjut,correct
turun istirahat,correct
turun main,correct
turun mandi,correct
turun minum,correct
abu gosok,correct
alat cacah,correct
alat ukur,correct
ayam aduan,correct
ayam daging,correct
ayam petelur,correct
ayam sabung,correct
ayam telur,correct
batu loncatan,correct
bengkel kerja,correct
daya beli,correct
daya cipta,correct
daya dorong,correct
daya gerak,correct
daya guna,correct
daya hidup,correct
daya juang,correct
daya penarik,correct
daya pikir,correct
daya serap,correct
daya tahan,correct
daya tanggap,correct
daya tangkap,correct
daya tarik,correct
doa tobat,correct
duit kopi,correct
gambar tempel,correct
gedung juang,correct
hak jawab,correct
hak pakai,correct
hak pilih,correct
hak tolak,correct
jam bicara,correct
jalan masuk,correct
jalan pintas,correct
jalan tembus,correct
jalan kirim,correct
kamar kerja,correct
kapal keruk,correct
kapal perang,correct
kapal pesiar,correct
kapal selam,correct
kapur tulis,correct
kawan bicara,correct
kilang minyak,correct
kuda beban,correct
kuda pacu,correct
kuda tunggang,correct
kursi goyang,correct
kursi malas,correct
langkah kerja,correct
mercu suar,correct
minyak gorang,correct
nasi angkatan,correct
nasi damai,correct
nasi hadap-hadapan,correct
obat bius,correct
obat kuat,correct
obat penawar,correct
obat penenang,correct
obat tidur,correct
parit kuras,correct
peran serta,correct
pesawat tempur,correct
pintu angin,correct
pipa kuras,correct
pita suara,correct
pompa angin,correct
rapat kerja,correct
ruang kerja,correct
ruang bedah,correct
rumah gadai,correct
rumah makan,correct
rumah sakit,correct
sanggar kerja,correct
surat jalan,correct
surat tugas,correct
tanah tumpah darah,correct
tanda baca,correct
tanda bagi,correct
tanda hubung,correct
tanda kurung,correct
tanda seru,correct
tanda tambah,correct
tanda tanya,correct
tangga nada,correct
tenggang tangguh,correct
titik didih,correct
titik luluh,correct
titik tolak,correct
uang bandar,correct
uang belanja,correct
uang duduk,correct
uang jaga,correct
uang jajan,correct
uang jalan,correct
uang jasa,correct
uang kancing,correct
uang kopi,correct
uang kunci,correct
uang lauk pauk,correct
uang lembur,correct
uang makan,correct
uang meja,correct
uang pelicin,correct
uang pokok,correct
uang rokok,correct
uang sekolah,correct
uang sembah,correct
uang semir,correct
uang sidang,correct
uang sirih,correct
uang sogok,correct
uang teh,correct
uang terjun,correct
uang tinta,correct
uang tolak,correct
warung senggol,correct
jalur kirim,correct
abang kandung,correct
anak kandung,correct
api unggun,correct
buah bibir,correct
buah cakap,correct
buah kalam,correct
buah kesenian,correct
buah mimpi,correct
buah mulut,correct
buah pembicaraan,correct
buah pena,correct
buah percakapan,correct
buah pikiran,correct
buah tangan,correct
buah tutur,correct
daya batin,correct
daya kuda,correct
hak cipta,correct
hak milik,correct
ibu kandung,correct
kabar angin,correct
kakak kandung,correct
luka bakar,correct
luka tikam,correct
marak damar,correct
marak intan,correct
marak kaca,correct
marak logam,correct
musik gesek,correct
saudara kandung,correct
bajak laut,correct
gerak jalan,correct
kapal laut,correct
kapal udara,correct
lari gawang,correct
uang muka,correct
uang pangkal,correct
angin sakal,correct
bintang kitar,correct
bulan kitar,correct
bunga rampai,correct
darah iring,correct
garis bujur,correct
garis hubung,correct
garis lintang,correct
garis singgung,correct
kampanye lisan,correct
minyak rampai,correct
roda kitar,correct
ubi jalar,correct
ubi rambut,correct
ban angin,correct
kapal layar,correct
kapal meriam,correct
kereta angin,correct
kereta api,correct
mesin uap,correct
nasi beriani,correct
nasi lemak,correct
nasi minyak,correct
nasi rawon,correct
nasi telur,correct
nasi ulam,correct
